commit	val_knn_accuracy	memory_gb	status	description
790ef15	0.056000	0.6	keep	baseline: 10 epochs, default config
8832191	0.246000	0.6	keep	knn_eval_every_n_epochs 10→1 (was only evaluating at epoch 0)
e3b2da5	0.312000	0.6	keep	warmup_epochs 10→2 (LR was still ramping for entire 10-epoch run)
9db6387	0.261000	0.7	discard	K 1024→4096 (not enough epochs to fill prototypes)
ee2e354	0.322000	1.3	keep	double backbone width: channels (32,64,128,256)→(64,128,256,512)
e8c62b9	0.414000	1.5	keep	n_local_crops 4→6 (more diverse views)
60ab899	0.342000	1.7	discard	n_local_crops 6→8 (diminishing returns)
133f212	0.423000	1.4	keep	remove spatial attention block (+0.009 and -4 lines)
310a5a7	0.186000	1.4	discard	base_lr 5e-4→1e-3 (DINO collapse)
c2759c8	0.275000	1.4	discard	K=2048 (too large for 10 epochs, like 4096)
f2acf9e	0.298000	1.4	discard	weight_decay_end 0.4→0.1 (high WD helps generalization on MNIST)
3b5e8f6	0.215000	1.5	discard	head hidden_dim 512→1024 (too much capacity for 10 epochs)
efde277	0.251000	1.4	discard	min_lr 1e-6→1e-4 (LR needs to decay for representation quality)
6398734	0.206000	1.4	discard	momentum_start 0.996→0.998 (teacher too frozen, collapse)
c279483	0.376000	1.4	discard	momentum_start 0.996→0.99 (too aggressive, worse than 0.996)
c88c0ab	0.517000	1.4	keep	head n_layers 3→2 (simpler head trains faster in 10 epochs)
a57dba2	0.424000	1.4	discard	head n_layers 2→1 (too simple, loses representational power)
a310a6a	0.407000	1.4	discard	K=2048 with 2-layer head (still hurts)
7d2fe95	0.443000	1.4	discard	bottleneck_dim 128→256 (larger bottleneck hurts)
ece114c	0.455000	0.7	discard	backbone reverted to (32,64,128,256) (wider backbone better)
0849b19	0.296000	1.6	discard	blocks (1,2,2,1) extra layer2 block (hurts)
1d4dc1a	0.297000	1.4	discard	gradient_clip_val 3.0→1.0 (tighter clip hurts)
7641f06	0.485000	1.4	discard	knn_k 20→10 (k=20 is better for current representations)
4f7b48a	0.255000	1.4	discard	knn_k 20→30 (k=20 is optimal)
3baa866	0.250000	1.4	discard	use teacher features for kNN (teacher EMA carries early random-weight bias)
484b91d	0.392000	1.4	discard	local_crop_scale (0.2,0.5)→(0.1,0.4) (too hard for 10 epochs)
577ec1f	0.330000	1.4	discard	K=512 (worse than K=1024)
3469d3e	0.405000	1.4	discard	TTA: average both global crops for kNN (worse than single crop)
ef959c0	0.397000	1.4	discard	head hidden_dim 512→256 (too small, 512 is sweet spot)
e10c9e1	0.333000	1.4	discard	local_crop_scale (0.2,0.5)→(0.3,0.6) (too easy, hurts diversity)
843acc8	0.175000	1.4	discard	student_temp 0.1→0.07 (too sharp, near collapse)
df5311b	0.206000	1.4	discard	warmup_epochs 2→1 (too aggressive, 2 is optimal)
7fabb76	0.345000	1.4	discard	asymmetric global blur p=[1.0,0.1] (always-blurry teacher hurts MNIST)
0eb26a9	0.458000	1.3	discard	blocks (1,1,2,1)→(1,1,1,1) (extra layer3 block helps)
b31a332	0.389000	1.4	discard	remove RandomErasing from global (was helping as regularization)
1d2394e	0.392000	1.5	discard	n_local_crops 6→7 (6 is the confirmed sweet spot)
ace9b99	0.384000	1.4	discard	center_momentum 0.9→0.95 (slower center hurts, 0.9 is optimal)
d82b9b0	0.487000	1.4	discard	weight_decay_start 0.04→0.0 (some initial WD prevents early collapse)
e8d1e37	0.406000	1.6	discard	global_crop_size 28→32 (28 is better despite less clean spatial dims)
181007d	0.640000	1.4	keep	fix kNN: temperature-weighted argmax per paper (knn_temperature was defined but unused)
41425f0	0.567000	1.4	discard	global_crop_scale (0.5,1.0)→(0.4,1.0) (more scale variety hurts)
cc51a24	0.679000	1.5	keep	local_crop_size 14→16 (cleaner power-of-2 dims, more spatial info)
59bcb39	0.691000	1.7	keep	local_crop_size 16→18 (3×3 feature map before pool, more spatial signal)
683247b	0.792000	1.9	keep	local_crop_size 18→20 (larger local crops, major gain)
d50d3cf	0.738000	2.1	discard	local_crop_size 20→22 (past the peak, 20 is optimal)
2909525	0.776000	1.9	discard	local_crop_scale (0.2,0.5)→(0.3,0.6) with 20px crops (original scale is better)
0746f4d	0.766000	1.7	discard	n_local_crops 6→5 with 20px crops (6 is still optimal)
9daf287	0.768000	2.2	discard	n_local_crops 6→8 with 20px crops (6 confirmed optimal)
b2a62de	0.807000	1.9	keep	avg pool → max pool (peak activation per channel beats average)
0e8d4f6	0.702000	1.9	discard	concat avg+max pool feat_dim=1024 (larger head input hurts in 10 epochs)
4953cb3	0.859000	1.9	keep	global_crop_scale (0.5,1.0)→(0.6,1.0) (larger teacher crops, more reliable targets)
798dddd	0.879000	1.9	keep	global_crop_scale (0.6,1.0)→(0.7,1.0) (larger teacher crops, continued gain)
f3b9989	0.854000	1.9	discard	global_crop_scale (0.7,1.0)→(0.8,1.0) (past the peak, 0.7 is optimal)
063c90e	0.821000	1.9	discard	knn_k 20→10 (k=20 still optimal under new metric)
74c08df	0.855000	1.9	discard	teacher_temp_warmup_epochs 10→5 (faster warmup hurts, gradual ramp helps)
72d637b	0.859000	1.9	discard	global_crop_scale (0.7,1.0)→(0.75,1.0) (0.7 is the exact peak)
65f21a1	0.852000	1.9	discard	add RandomErasing p=0.15 to local crops (student needs clean local structure)
b3a4adc	0.824000	2.4	discard	blocks (1,1,2,1)→(2,1,2,1) (extra layer1 block hurts, current arch is optimal)
bf96766	0.844000	1.9	discard	student_temp 0.1→0.09 (paper's 0.1 is optimal, sharper hurts)
14469a0	0.863000	1.9	discard	knn_temperature 0.07→0.05 (sharper voting hurts, T=0.07 is optimal)
7593394	0.799000	1.9	discard	local_crop_scale (0.2,0.5)→(0.2,0.55) (wider max local scale hurts, 0.5 is optimal)
73674db	0.765000	1.9	discard	base_lr 5e-4→7e-4 (LR increase hurts, 5e-4 is optimal)
57bfe09	0.922800	1.9	keep	knn_samples 1000→5000 (better class coverage reveals true accuracy was ~0.923 not 0.879)
5a5f351	0.933400	2.5	keep	ReLU→SiLU in backbone (smoother activation improves gradient flow)
d8777c9	0.923200	2.8	discard	local_crop_size 20→21 (SiLU model also peaks at 20)
e417c65	0.906600	2.5	discard	GELU→SiLU in head (GELU is optimal for projection head, backbone-only SiLU is best)
9e7b8c4	0.879600	2.8	discard	blocks (1,1,2,1)→(1,1,3,1) (extra layer3 block hurts, (1,1,2,1) is optimal)
76128a2	0.941400	2.5	keep	gradient_clip_val 3.0→5.0 (looser clip helps SiLU's smoother gradient landscape)
a294f17	0.926200	2.5	discard	gradient_clip_val 5.0→10.0 (peak is at 5.0, larger clips introduce instability)
90bb405	0.921400	2.8	discard	n_local_crops 6→7 (6 confirmed optimal even with improved model)
4c01977	0.948100	2.5	keep	knn_samples 5000→10000 (full val set, most accurate metric, reveals 0.948 quality)
5725879	0.944900	2.5	discard	TTA both global crops for kNN (single crop is more consistent, TTA hurts)
f5b9209	0.942600	2.5	discard	center_momentum 0.9→0.85 (faster centering hurts, 0.9 is optimal)
12809e6	0.940200	2.5	discard	betas (0.9,0.999)→(0.9,0.99) (less 2nd-moment smoothing hurts, 0.999 is optimal)
b816d33	0.937700	2.8	discard	add SE channel attention to BasicBlock (avg-pool squeeze conflicts with max pool readout)
b07e95d	0.959000	2.5	keep	teacher_temp_start 0.04→0.03 (sharper initial targets, cleaner early learning signal)
c83cfda	0.957700	2.5	discard	teacher_temp_start 0.03→0.025 (trend reversed, 0.03 is the sweet spot)
79c49fa	0.955000	2.5	discard	teacher_temp_end 0.07→0.06 (sharper end hurts, 0.07 is optimal end)
a846330	0.957500	2.5	discard	out_dim 1024→2048 (more prototypes not helpful in 10 epochs, 1024 is optimal)
cf34315	0.953900	2.5	discard	momentum_start 0.996→0.994 (faster EMA hurts, 0.996 is optimal)
0e885b6	0.952900	2.5	discard	bottleneck_dim 128→64 (tighter bottleneck hurts, 128 is optimal)
af15b9c	0.961200	2.5	keep	warmup_epochs 2→3 (longer ramp stabilises training with sharper teacher targets)
5b96248	0.966800	2.5	keep	warmup_epochs 3→4 (warmup trend continues: longer ramp consistently helps)
5863b6c	0.965200	2.5	discard	warmup_epochs 4→5 (past the peak, 4 is optimal warmup)
ed8cbda	0.967500	2.5	keep	teacher_temp_warmup_epochs 10→15 (slower ramp = sharper targets longer, +0.001)
f6a2707	0.962400	2.5	discard	teacher_temp_warmup_epochs 15→20 (past the peak, 15 is optimal)
2ad8007	0.964700	2.5	discard	global_crop_scale (0.7,1.0)→(0.65,1.0) (wider range hurts, 0.7 is still optimal)
73f1e9a	0.971500	2.5	keep	knn_temperature 0.07→0.06 (sharper voting works with strong representations)
2cba9da	0.966200	2.5	discard	knn_temperature 0.06→0.05 (overshoots, 0.06 is optimal kNN temperature)
1498681	0.972800	2.5	keep	knn_k 20→15 (fewer confident neighbors better with well-separated features)
e483d28	0.963800	2.5	discard	knn_k 15→10 (too few neighbors, 15 is optimal)
fd8b413	0.963400	2.5	discard	local_crop_scale (0.2,0.5)→(0.15,0.5) (harder local views hurt, 0.2 is optimal)
a11b4f2	0.960400	2.5	discard	remove GaussianBlur from local crops (blur helps slightly, keep p=0.3)
4c80251	0.882600	2.5	discard	DropPath rate=0.1 (too aggressive for 10-epoch training, massive regression)
128c449	0.966500	2.5	discard	blocks (1,1,2,1)→(1,2,2,1) (extra layer2 block hurts, arch is optimally sized)
798e326	0.966700	2.5	discard	global ColorJitter brightness/contrast 0.4→0.3 (weaker jitter hurts, 0.4 is optimal)
5ee39ef	0.965400	2.5	discard	center_momentum 0.9→0.88 (faster center hurts, 0.9 is optimal)
30c6b27	0.968300	2.5	discard	RandomErasing p=0.2→0.3 on global crops (more erasing hurts slightly, 0.2 is optimal)
8936e8f	0.960900	2.5	discard	add RandomRotation(15deg,p=0.5) to global crops (fixed digit orientations, rotation hurts)
ea4de9f	0.965800	3.0	discard	n_global_crops 2→3 (more teacher signal doesn't help in 10 epochs, 2 is optimal)
29ab451	0.952100	2.5	discard	head n_layers 2→3 (deeper head still worse, 2 confirmed optimal even with strong backbone)
f555fad	0.967600	2.5	discard	student_temp 0.1→0.11 (warmer student hurts, 0.1 is optimal)
961532e	0.968200	2.5	discard	base_lr 5e-4→4e-4 (lower LR hurts slightly, 5e-4 is optimal)
9ee9341	0.983200	2.5	keep	switch kNN to train-bank protocol: 60k clean train→10k val queries (paper-correct eval)
68ebbc2	0.982900	2.5	discard	global GaussianBlur kernel 3→5, sigma max 1.0→2.0 (stronger blur hurts, original optimal)
fbb68eb	0.982400	2.5	discard	RandomErasing p=0.2→0.1 on global crops (less erasing hurts, 0.2 is optimal)
